date,symbol,name,amount,price
2022-10-13,161226,国投白银LOF,6222800,0.622
2022-10-19,159985,豆粕ETF华夏,2178900,1.73
2022-10-24,511880,银华日利,37100,101.531
2022-10-25,159883,医疗器械ETF永赢,5501300,0.666
2022-10-27,513290,纳指生物,3577200,1.055
2022-10-28,513030,德国ETF,3946900,0.948
2022-10-31,513290,纳指生物,3603900,1.093
2022-11-03,513030,德国ETF,4081200,0.95
2022-11-04,515400,大数据,5288300,0.747
2022-11-08,512720,计算机,3660400,1.065
2022-11-09,588100,科创信息,3921100,1.004
2022-11-14,159892,恒生医药ETF华夏,6348400,0.67
2022-11-17,513030,德国ETF,4085100,1.053
2022-11-18,515400,大数据,5585400,0.797
2022-11-21,159856,互联网龙头ETF工银,8272700,0.512
2022-11-22,513180,恒指科技,8607200,0.488
2022-11-29,513030,德国ETF,3976800,1.066
2022-12-01,161226,国投白银LOF,6187400,0.702
2022-12-05,513090,香港证券,3984100,1.099
2022-12-06,513530,港股红利,4489900,0.986
2022-12-07,513260,恒科技,4235600,1.076
2022-12-12,512200,地产ETF,5948600,0.768
2022-12-14,513330,恒生互联,9865300,0.468
2022-12-16,161226,国投白银LOF,6280300,0.711
2022-12-19,159985,豆粕ETF华夏,2320300,1.884
2022-12-21,511880,银华日利,42900,101.742
2022-12-22,159985,豆粕ETF华夏,2284100,1.925
2022-12-23,161226,国投白银LOF,6005600,0.72
2022-12-26,159985,豆粕ETF华夏,2241100,1.985
2022-12-27,161226,国投白银LOF,6126500,0.728
2022-12-28,159985,豆粕ETF华夏,2248700,1.959
2022-12-29,512690,酒ETF,5169400,0.847
2022-12-30,159985,豆粕ETF华夏,2213100,1.998
2023-01-03,161226,国投白银LOF,6056100,0.734
2023-01-04,512690,酒ETF,5303500,0.838
2023-01-05,159981,能源化工ETF建信,2956300,1.478
2023-01-06,513120,HK创新药,4200600,1.05
2023-01-10,513360,教育ETF,7959900,0.575
2023-01-13,513120,HK创新药,4366400,1.086
2023-01-16,513330,恒生互联,9636200,0.494
2023-01-17,513060,恒生医疗,7050900,0.645
2023-01-31,512010,医药ETF,8644300,0.515
2023-02-01,159851,金融科技ETF华宝,4038900,1.117
2023-02-02,159852,软件ETF嘉实,4860500,0.949
2023-02-06,515400,大数据,5343800,0.877
2023-02-07,562500,机器人,5871700,0.82
2023-02-08,513030,德国ETF,4325100,1.119
2023-02-14,513310,中韩芯片,4543500,1.073
2023-02-15,515980,人工智能,5440000,0.918
2023-02-16,159869,游戏ETF华夏,5289100,0.977
2023-02-17,159819,人工智能ETF易方达,6172600,0.781
2023-02-22,513030,德国ETF,4276600,1.121
2023-02-23,159869,游戏ETF华夏,5137300,0.911
2023-02-27,513030,德国ETF,4155600,1.117
2023-03-02,511880,银华日利,46200,100.374
2023-03-06,512040,国信价值,2490800,1.857
2023-03-08,516950,基建ETF,4177500,1.098
2023-03-09,501018,南方原油,3970500,1.147
2023-03-13,513030,德国ETF,3980200,1.135
2023-03-22,518880,黄金ETF,1101800,4.213
2023-03-23,517090,共赢ETF,3874200,1.197
2023-03-30,588200,科创芯片,3585800,1.302
2023-03-31,588100,科创信息,3932400,1.195
2023-04-03,588260,科创技术,3931600,1.257
2023-04-04,159819,人工智能ETF易方达,5131000,1.016
2023-04-06,512480,半导体,4912400,1.105
2023-04-07,517280,网购ETF,5712800,0.975
2023-04-10,159786,VRETF银华,6567000,0.835
2023-04-12,513310,中韩芯片,4583900,1.185
2023-04-13,515000,科技ETF,3821800,1.397
2023-04-14,515400,大数据,4974900,1.051
2023-04-17,161226,国投白银LOF,6771500,0.754
2023-04-19,513310,中韩芯片,4304100,1.181
2023-04-20,512480,半导体,4740800,1.074
2023-04-21,588100,科创信息,3784800,1.296
2023-04-24,161226,国投白银LOF,6504100,0.747
2023-04-27,513030,德国ETF,4061500,1.2
2023-05-04,513030,德国ETF,548700,1.198
2023-05-05,161226,国投白银LOF,6302400,0.779
2023-05-08,513520,日经ETF,4321000,1.136
2023-05-11,161226,国投白银LOF,6357000,0.763
2023-05-12,513520,日经ETF,4238500,1.158
2023-05-16,513100,纳指ETF,5208300,0.948
2023-05-17,513520,日经ETF,2856000,1.201
2023-05-19,513100,纳指ETF,5264100,0.993
2023-05-22,511880,银华日利,51800,100.788
2023-06-08,513100,纳指ETF,5309800,1.032
2023-06-09,513500,标普500,3820500,1.443
2023-06-13,513100,纳指ETF,5259400,1.08
2023-06-15,515880,通信ETF,4788400,1.23
2023-06-19,516510,云计算,4714600,1.333
2023-06-20,515400,大数据,5645500,1.143
2023-06-21,515980,人工智能,5669200,1.116
2023-06-26,159852,软件ETF嘉实,5740000,1.045
2023-06-27,516520,智能驾驶,6201800,0.954
2023-06-28,159985,豆粕ETF华夏,3114900,1.894
2023-06-29,513500,标普500,3966700,1.497
2023-07-04,159985,豆粕ETF华夏,3152900,2.002
2023-07-06,515880,通信ETF,4821200,1.287
2023-08-02,159985,豆粕ETF华夏,3086400,2.164
2023-08-04,512880,证券ETF,6566100,1.075
2023-08-07,159768,房地产ETF银华,8492400,0.804
2023-08-08,515630,保险证券,5746200,1.198
2023-08-10,513090,香港证券,5546000,1.223
2023-08-11,159985,豆粕ETF华夏,3110700,2.2
2023-08-16,501018,南方原油,4668183,1.255
2023-08-17,501018,南方原油,874327,1.235
2023-08-22,511880,银华日利,66500,101.245
2023-08-23,159985,豆粕ETF华夏,2948300,2.3
2023-08-25,511880,银华日利,66900,101.247
2023-09-08,159985,豆粕ETF华夏,2907000,2.32
2023-09-11,501018,南方原油,3656209,1.341
2023-09-12,159985,豆粕ETF华夏,2874200,2.331
2023-09-20,501018,南方原油,3322393,1.365
2023-09-22,518880,黄金ETF,1471400,4.55
2023-09-25,501018,南方原油,4878900,1.365
2023-09-26,501018,南方原油,839671,1.342
2023-09-27,518880,黄金ETF,1449200,4.561
2023-09-28,511880,银华日利,65200,101.447
2023-10-09,501018,南方原油,4700200,1.322
2023-10-13,511880,银华日利,61200,101.483
2023-10-16,515120,创新药,9543200,0.645
2023-10-31,511880,银华日利,60600,101.549
2023-11-02,561980,芯片设备,5807300,1.044
2023-11-16,513120,HK创新药,6849300,0.879
2023-11-17,159892,恒生医药ETF华夏,9884000,0.611
2023-11-22,513310,中韩芯片,4857500,1.221
2023-11-27,159509,纳指科技ETF景顺,5740400,1.024
2023-12-06,513030,德国ETF,4805400,1.255
2023-12-07,513520,日经ETF,4835300,1.239
2023-12-18,513030,德国ETF,4791700,1.274
2023-12-21,513290,纳指生物,5533500,1.079
2023-12-22,513520,日经ETF,4543000,1.304
2023-12-27,513290,纳指生物,5453800,1.138
2023-12-28,513100,纳指ETF,5090400,1.216
2023-12-29,513520,日经ETF,4692000,1.315
2024-01-09,513290,纳指生物,5415900,1.188
2024-01-10,159509,纳指科技ETF景顺,5972900,1.086
2024-01-15,513290,纳指生物,5486700,1.17
2024-01-16,513520,日经ETF,4278800,1.647
2024-01-17,518880,黄金ETF,1507700,4.652
2024-01-18,513500,标普500,4334200,1.609
2024-01-19,159509,纳指科技ETF景顺,6287000,1.143
2024-01-24,513520,日经ETF,4975500,1.672
2024-01-25,513100,纳指ETF,6472800,1.272
2024-02-01,159509,纳指科技ETF景顺,6952500,1.159
2024-02-02,501018,南方原油,6565800,1.197
2024-02-06,159509,纳指科技ETF景顺,6619800,1.228
2024-02-07,513100,纳指ETF,6295500,1.283
2024-02-08,159509,纳指科技ETF景顺,6635600,1.254
2024-02-19,512800,银行ETF,7454700,1.134
2024-03-04,159509,纳指科技ETF景顺,6740000,1.428
2024-03-05,512720,计算机,10118700,0.956
2024-03-06,159967,创业板成长ETF华夏,22650100,0.423
2024-03-11,588100,科创信息,9784500,0.959
2024-03-12,513310,中韩芯片,7571800,1.258
2024-03-14,159949,创业板50ETF华安,11757300,0.805
2024-03-15,515000,科技ETF,8271600,1.131
2024-03-19,159997,电子ETF天弘,10775700,0.904
2024-03-20,159998,计算机ETF天弘,12328300,0.795
2024-03-21,515980,人工智能,11460900,0.856
2024-03-22,561330,矿业ETF,9333600,0.945
2024-03-25,561330,矿业ETF,196200,0.966
2024-03-26,513310,中韩芯片,7553200,1.281
2024-03-27,161226,国投白银LOF,12062100,0.801
2024-04-03,159518,标普油气ETF嘉实,9191100,1.126
2024-04-08,561330,矿业ETF,9888500,1.069
2024-04-11,159518,标普油气ETF嘉实,9452000,1.111
2024-04-16,161226,国投白银LOF,11757100,0.922
2024-04-19,518880,黄金ETF,1973000,5.456
2024-04-22,511880,银华日利,106900,100.649
2024-05-08,159980,有色ETF大成,6130800,1.742
2024-05-09,513330,恒生互联,27309100,0.394
2024-05-10,159691,港股红利ETF工银,9202400,1.191
2024-05-13,513330,恒生互联,27741600,0.401
2024-05-14,159691,港股红利ETF工银,9199400,1.204
2024-05-15,513260,恒科技,10506600,1.047
2024-05-16,510900,恒生中国,12923800,0.865
2024-05-20,159985,豆粕ETF华夏,4848900,2.313
2024-05-23,513920,央企40,9116600,1.198
2024-05-24,159691,港股红利ETF工银,9199200,1.182
2024-05-27,159985,豆粕ETF华夏,4647800,2.32
2024-05-28,513100,纳指ETF,7852000,1.379
2024-05-29,161226,国投白银LOF,10572000,1.027
2024-05-30,159509,纳指科技ETF景顺,7369500,1.448
2024-06-03,511880,银华日利,105800,100.826
2024-06-13,159509,纳指科技ETF景顺,7237100,1.665
2024-06-17,513100,纳指ETF,8401400,1.44
2024-06-20,513310,中韩芯片,8809600,1.401
2024-06-21,513100,纳指ETF,8388700,1.451
2024-06-24,513310,中韩芯片,8902400,1.361
2024-06-25,513100,纳指ETF,8389000,1.43
2024-06-26,513500,标普500,6289400,1.921
2024-06-28,513100,纳指ETF,8324900,1.474
2024-07-03,159509,纳指科技ETF景顺,7178800,1.682
2024-07-10,513100,纳指ETF,8037400,1.549
2024-07-12,513520,日经ETF,7908200,1.519
2024-07-17,513000,225ETF,8186900,1.489
2024-07-22,513520,日经ETF,7976300,1.453
2024-07-24,513290,纳指生物,9038400,1.291
2024-07-26,511880,银华日利,115400,101.034
2024-07-30,159502,标普生物科技ETF嘉实,10555600,1.094
2024-07-31,513520,日经ETF,7801000,1.487
2024-08-01,513400,道琼斯,10718900,1.093
2024-08-02,159502,标普生物科技ETF嘉实,10795800,1.07
2024-08-05,518880,黄金ETF,2101300,5.405
2024-08-21,511880,银华日利,112300,101.129
2024-08-28,518880,黄金ETF,2052900,5.536
2024-08-29,513520,日经ETF,7626100,1.485
2024-08-30,518880,黄金ETF,2042600,5.512
2024-09-02,513500,标普500,5702600,1.999
2024-09-03,513000,225ETF,7865600,1.445
2024-09-04,513030,德国ETF,8008100,1.389
2024-09-05,511880,银华日利,109900,101.189
2024-09-09,159529,标普消费ETF景顺,9989800,1.106
2024-09-12,159529,标普消费ETF景顺,4398500,1.13
2024-09-13,518880,黄金ETF,2017000,5.618
2024-09-18,159529,标普消费ETF景顺,9955400,1.138
2024-09-20,159985,豆粕ETF华夏,5720700,1.94
2024-09-24,159529,标普消费ETF景顺,9733300,1.148
2024-09-25,159985,豆粕ETF华夏,5696900,1.953
2024-09-26,513120,HK创新药,16051700,0.701
2024-10-10,159851,金融科技ETF华宝,12975700,1.275
2024-10-14,159980,有色ETF大成,9673200,1.717
2024-10-15,512040,国信价值,17388100,0.948
2024-10-16,517180,中国国企,10619000,1.542
2024-10-17,515220,煤炭ETF,13654000,1.199
2024-10-22,518880,黄金ETF,2776100,6.023
