date,before,weak,below,above,weak_start,weak_days,detail
2020-05-20,True,False,0,4,None,2,000300.XSHG:2020-05-19:3956.2500:3943.0630:above|399101.XSHE:2020-05-19:10275.4000:10204.4380:above|399006.XSHE:2020-05-19:2144.1200:2121.0950:above|000510.XSHG:2020-05-19:4514.5857:4485.7309:above
2020-05-21,False,True,4,0,2020-05-21,0,000300.XSHG:2020-05-20:3935.2200:3942.9600:below|399101.XSHE:2020-05-20:10176.4400:10206.0950:below|399006.XSHE:2020-05-20:2118.1200:2121.8800:below|000510.XSHG:2020-05-20:4487.4138:4487.6883:below
2020-05-22,True,True,4,0,2020-05-22,2,000300.XSHG:2020-05-21:3913.7900:3941.8500:below|399101.XSHE:2020-05-21:10062.7700:10198.7300:below|399006.XSHE:2020-05-21:2099.4300:2121.1390:below|000510.XSHG:2020-05-21:4455.3363:4487.6832:below
2020-05-25,True,True,4,0,2020-05-25,2,000300.XSHG:2020-05-22:3824.0600:3927.8940:below|399101.XSHE:2020-05-22:9889.0900:10164.5230:below|399006.XSHE:2020-05-22:2046.6000:2113.2750:below|000510.XSHG:2020-05-22:4352.6250:4472.9907:below
2020-05-26,True,True,4,0,2020-05-26,2,000300.XSHG:2020-05-25:3829.3200:3914.8080:below|399101.XSHE:2020-05-25:9855.1600:10129.9310:below|399006.XSHE:2020-05-25:2052.3000:2108.2220:below|000510.XSHG:2020-05-25:4353.5833:4458.7409:below
2020-05-27,True,True,3,1,2020-05-27,2,000300.XSHG:2020-05-26:3872.7700:3906.0610:below|399101.XSHE:2020-05-26:10066.7600:10113.9920:below|399006.XSHE:2020-05-26:2112.9700:2107.1040:above|000510.XSHG:2020-05-26:4417.7927:4450.0005:below
2020-05-28,True,True,4,0,2020-05-28,2,000300.XSHG:2020-05-27:3845.6100:3893.7970:below|399101.XSHE:2020-05-27:10006.0200:10084.5880:below|399006.XSHE:2020-05-27:2071.4700:2100.1830:below|000510.XSHG:2020-05-27:4380.4145:4436.3306:below
2020-05-29,True,True,4,0,2020-05-29,2,000300.XSHG:2020-05-28:3856.6300:3886.9380:below|399101.XSHE:2020-05-28:9970.5800:10063.0360:below|399006.XSHE:2020-05-28:2054.9600:2093.9140:below|000510.XSHG:2020-05-28:4383.2925:4427.4711:below
2020-06-01,True,True,3,1,2020-06-01,2,000300.XSHG:2020-05-29:3867.0200:3882.3580:below|399101.XSHE:2020-05-29:10072.7200:10050.6740:above|399006.XSHE:2020-05-29:2086.6700:2090.1500:below|000510.XSHG:2020-05-29:4403.3826:4421.3110:below
2020-06-02,True,False,0,4,None,2,000300.XSHG:2020-06-01:3971.3400:3887.2010:above|399101.XSHE:2020-06-01:10386.1400:10076.1080:above|399006.XSHE:2020-06-01:2158.2200:2094.4860:above|000510.XSHG:2020-06-01:4527.8037:4427.6230:above
2020-06-03,False,False,0,4,None,0,000300.XSHG:2020-06-02:3983.5700:3889.9330:above|399101.XSHE:2020-06-02:10403.1100:10088.8790:above|399006.XSHE:2020-06-02:2145.2900:2094.6030:above|000510.XSHG:2020-06-02:4536.7422:4429.8387:above
2020-06-04,False,False,0,4,None,0,000300.XSHG:2020-06-03:3983.6500:3894.7760:above|399101.XSHE:2020-06-03:10439.7900:10115.2140:above|399006.XSHE:2020-06-03:2143.1200:2097.1030:above|000510.XSHG:2020-06-03:4538.8969:4434.9870:above
