date,log_date,time,target,target_raw,top10_raw,top1
2024-09-02,2024-09-02,13:10:00,513030,513030.SH,"513030.SH:0.8488,513500.SH:0.5865,513750.SH:0.4642,510900.SH:0.3187,513970.SH:0.1942,513920.SH:0.1552,518880.SH:0.1524",513030
2024-09-03,2024-09-03,13:10:00,513030,513030.SH,"513030.SH:1.0653,513500.SH:0.8103,513520.SH:0.7066,513750.SH:0.5276,159529.SZ:0.3914,510900.SH:0.2908,513970.SH:0.2488,518880.SH:0.1329",513030
2024-09-04,2024-09-04,13:10:00,513030,513030.SH,"513030.SH:0.8422,513750.SH:0.5252,159529.SZ:0.3569,513970.SH:0.2325,510900.SH:0.2301",513030
2024-09-05,2024-09-05,13:10:00,513030,513030.SH,"513030.SH:0.8121,513750.SH:0.6907,159529.SZ:0.5136,513400.SH:0.2962,520830.SH:0.2299,513970.SH:0.2295,512070.SH:0.1705,518880.SH:0.0868",513030
2024-09-06,2024-09-06,13:10:00,513750,513750.SH,"513750.SH:0.7536,513030.SH:0.6807,159529.SZ:0.5322,512070.SH:0.3181,513400.SH:0.2134,520830.SH:0.2103,513970.SH:0.1968,518880.SH:0.1329",513750
2024-09-09,2024-09-09,13:10:00,159985,159985.SZ,159985.SZ:0.1105,159985
2024-09-10,2024-09-10,13:10:00,159529,159529.SZ,"159529.SZ:0.3366,159985.SZ:0.1887,518880.SH:0.0434",159529
2024-09-11,2024-09-11,13:10:00,159529,159529.SZ,"159529.SZ:0.2982,518880.SH:0.0442",159529
2024-09-12,2024-09-12,13:10:00,518880,518880.SH,"518880.SH:0.0285,159502.SZ:0.0016,513290.SH:0.0011,513520.SH:0.0002",518880
2024-09-13,2024-09-13,13:10:00,159529,159529.SZ,"159529.SZ:0.3289,518880.SH:0.0685,513030.SH:0.0135,513400.SH:0.0056",159529
2024-09-18,2024-09-18,13:10:00,159985,159985.SZ,"159985.SZ:0.8667,159529.SZ:0.3260,513030.SH:0.0123",159985
2024-09-19,2024-09-19,13:10:00,159985,159985.SZ,"159985.SZ:0.6956,518880.SH:0.0958,513030.SH:0.0133,513400.SH:0.0082",159985
2024-09-20,2024-09-20,13:10:00,159529,159529.SZ,"159529.SZ:0.2985,518880.SH:0.1438,513400.SH:0.0100,513030.SH:0.0098",159529
2024-09-23,2024-09-23,13:10:00,159529,159529.SZ,"159529.SZ:0.3053,518880.SH:0.2186,513400.SH:0.0134,513030.SH:0.0015",159529
2024-09-24,2024-09-24,13:10:00,159985,159985.SZ,"159985.SZ:0.4424,159529.SZ:0.3707,518880.SH:0.2613,513400.SH:0.0128,513030.SH:0.0008",159985
2024-09-25,2024-09-25,13:10:00,512200,512200.SH,"512200.SH:1.0830,513180.SH:1.0762,513330.SH:1.0705,513120.SH:1.0243,159852.SZ:0.9732,159892.SZ:0.7542,516510.SH:0.5297,518880.SH:0.3629,515030.SH:0.3600,159529.SZ:0.3580",512200
2024-09-26,2024-09-26,13:10:00,513330,513330.SH,"513330.SH:2.2884,159852.SZ:1.6588,513120.SH:1.5234,159892.SZ:1.2413,516510.SH:0.9977,515400.SH:0.9974,515030.SH:0.5494,516520.SH:0.4895,518880.SH:0.4559,562500.SH:0.4448",513330
2024-09-27,2024-09-27,13:10:00,513750,513750.SH,"513750.SH:4.8659,513180.SH:4.8129,159852.SZ:4.5233,512070.SH:4.2075,512880.SH:3.9922,513120.SH:2.9601,159998.SZ:2.5650,516510.SH:2.5348,515400.SH:2.5093,512980.SH:1.6618",513750
2024-09-30,2024-09-30,13:10:00,159869,159869.SZ,"159869.SZ:4.6831,515880.SH:4.2429,516190.SH:3.4989,562500.SH:3.2605,159566.SZ:2.4515,518880.SH:0.5214,159529.SZ:0.4016,159985.SZ:0.2781",159869
2024-10-08,2024-10-08,13:10:00,561330,561330.SH,"561330.SH:4.1467,513190.SH:3.9518,513630.SH:1.2857,511380.SH:0.6244,518880.SH:0.5718,159529.SZ:0.1624",561330
2024-10-09,2024-10-09,13:10:00,159980,159980.SZ,"159980.SZ:0.5978,518880.SH:0.4400,159529.SZ:0.1439",159980
2024-10-10,2024-10-10,13:10:00,159980,159980.SZ,"159980.SZ:0.7338,518880.SH:0.4033,159529.SZ:0.1725",159980
2024-10-11,2024-10-11,13:10:00,512800,512800.SH,"512800.SH:3.5708,159766.SZ:3.4277,517520.SH:3.1473,513630.SH:2.4329,561360.SH:2.0977,512890.SH:1.8702,510880.SH:1.7741,159980.SZ:0.8850,518880.SH:0.5121,161226.SZ:0.5018",512800
2024-10-14,2024-10-14,13:10:00,517520,517520.SH,"517520.SH:4.5057,513630.SH:3.6903,159766.SZ:3.3611,512890.SH:3.0329,561360.SH:2.8907,510880.SH:2.6442,159980.SZ:1.0258,161226.SZ:0.7233,518880.SH:0.6025,511380.SH:0.5532",517520
2024-10-15,2024-10-15,13:10:00,515220,515220.SH,"515220.SH:4.8779,159825.SZ:3.5301,512890.SH:3.2730,159766.SZ:3.0817,159865.SZ:2.9270,510880.SH:2.6729,159980.SZ:0.9791,159611.SZ:0.8750,161226.SZ:0.8503,511380.SH:0.6510",515220
2024-10-16,2024-10-16,13:10:00,515220,515220.SH,"515220.SH:4.4488,512890.SH:3.8698,159825.SZ:3.1259,510880.SH:3.0198,159865.SZ:2.5624,159766.SZ:2.4947,161226.SZ:1.0483,159611.SZ:0.9469,159980.SZ:0.9174,518880.SH:0.7634",515220
2024-10-17,2024-10-17,13:10:00,161226,161226.SZ,"161226.SZ:1.0649,518880.SH:0.8688,513400.SH:0.7396,513100.SH:0.5049,513030.SH:0.4587,513500.SH:0.4246,159509.SZ:0.3133,159529.SZ:0.1062,520830.SH:0.0041",161226
2024-10-18,2024-10-18,13:10:00,518880,518880.SH,"518880.SH:0.9920,513400.SH:0.7902,513500.SH:0.4954,513100.SH:0.4540,513030.SH:0.4375,159509.SZ:0.3162,159529.SZ:0.0670,520830.SH:0.0014",518880
2024-10-21,2024-10-21,13:10:00,161226,161226.SZ,"161226.SZ:1.5955,518880.SH:1.1152,513400.SH:0.8388,513500.SH:0.5180,159980.SZ:0.4987,513030.SH:0.4317,513100.SH:0.3962,159509.SZ:0.2187,159529.SZ:0.0566",161226
2024-10-22,2024-10-22,13:10:00,161226,161226.SZ,"161226.SZ:1.9004,518880.SH:1.2212,513400.SH:0.7705,513100.SH:0.3333",161226
