trade_date,jq_top10_raw,is_weak,candidates_json,local_target,jq_target,target_match,local_top1
2021-06-16,"501018.XSHG:0.9950,513100.XSHG:0.3737,513030.XSHG:0.1410,513520.XSHG:0.1289,513500.XSHG:0.1105",True,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 0.1378755593675602, ""annualized_return"": 0.24322076969211137, ""r_squared"": 0.5668741182839537, ""close"": 1.26}]",513030,501018,False,513030
2021-06-17,"501018.XSHG:1.1951,513100.XSHG:0.4023",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.2021305695658089, ""annualized_return"": 1.5725491933945457, ""r_squared"": 0.7644470358163222, ""close"": 0.817}]",501018,501018,True,501018
2021-06-18,"501018.XSHG:1.2844,513100.XSHG:0.5026,513520.XSHG:0.1924,513500.XSHG:0.1401",True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 0.18847663778068233, ""annualized_return"": 0.2705868833856342, ""r_squared"": 0.6965475762255252, ""close"": 1.248}]",513520,501018,False,513520
2021-06-21,"501018.XSHG:1.5227,513100.XSHG:0.5125",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.522676974215349, ""annualized_return"": 1.7697975565061816, ""r_squared"": 0.8603678814097349, ""close"": 0.815}]",501018,501018,True,501018
2021-06-22,"501018.XSHG:1.6810,513100.XSHG:0.5793,513500.XSHG:0.0741,513520.XSHG:0.0326",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.6901882957652956, ""annualized_return"": 1.9324566144560085, ""r_squared"": 0.8746319493651804, ""close"": 0.827}]",501018,501018,True,501018
2021-06-23,"501018.XSHG:1.9565,513100.XSHG:0.7030,513500.XSHG:0.1197",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 1.9565106306517317, ""annualized_return"": 2.158125712086982, ""r_squared"": 0.90657862037134, ""close"": 0.832}]",501018,501018,True,501018
2021-06-24,"159851.XSHE:2.4576,588080.XSHG:2.3333,501018.XSHG:2.2426,515880.XSHG:2.0667,515030.XSHG:2.0101,516160.XSHG:1.8387,515050.XSHG:1.8184,515220.XSHG:1.6566,516520.XSHG:1.6528,515790.XSHG:1.3327",False,"[{""symbol"": ""516110"", ""rank"": 1, ""momentum_score"": 3.333212701368169, ""annualized_return"": 4.053337731436554, ""r_squared"": 0.8223377675925456, ""close"": 1.207}]",516110,159851,False,516110
2021-06-25,"501018.XSHG:2.4109,159851.XSHE:2.3952,588080.XSHG:2.2677,516160.XSHG:2.0597,515030.XSHG:1.9718,515050.XSHG:1.9027,515790.XSHG:1.8926,515220.XSHG:1.8468,515880.XSHG:1.8379,516520.XSHG:1.7156",False,"[{""symbol"": ""516110"", ""rank"": 1, ""momentum_score"": 3.936015804131886, ""annualized_return"": 4.568872916541925, ""r_squared"": 0.8614850699570269, ""close"": 1.203}]",516110,501018,False,516110
2021-06-28,"588080.XSHG:2.5730,516160.XSHG:2.5620,515790.XSHG:2.4818,501018.XSHG:2.4123,515030.XSHG:2.4022,515050.XSHG:2.1282,159851.XSHE:2.0728,516520.XSHG:1.9389,515880.XSHG:1.7248,159819.XSHE:0.9576",False,"[{""symbol"": ""516110"", ""rank"": 1, ""momentum_score"": 4.549765775169671, ""annualized_return"": 5.124678956559163, ""r_squared"": 0.8878147906897367, ""close"": 1.219}]",516110,588080,False,516110
2021-06-29,"515790.XSHG:3.3740,516160.XSHG:2.9271,588080.XSHG:2.5031,515030.XSHG:2.4806,515050.XSHG:2.0994,501018.XSHG:2.0565,516520.XSHG:1.9133,159851.XSHE:1.7603,515880.XSHG:1.4708,513100.XSHG:1.1093",False,"[{""symbol"": ""516110"", ""rank"": 1, ""momentum_score"": 4.52434993049602, ""annualized_return"": 5.048096654337613, ""r_squared"": 0.8962486735685696, ""close"": 1.195}]",516110,515790,False,516110
