date,weak,pool,passed,target,target_raw,top10_raw,top10
2026-02-11,False,114,14,501018,501018.XSHG,501018.XSHG:3.7003:7.7030:0.4804:1.4100:0|513310.XSHG:3.3123:5.0099:0.6611:3.4320:0|561360.XSHG:2.8082:3.4680:0.8098:1.4740:0|159518.XSHE:2.2493:3.0420:0.7394:1.0140:0|513350.XSHG:1.9038:2.8911:0.6585:1.0730:0|513970.XSHG:1.4334:1.7365:0.8254:1.0270:0|159326.XSHE:1.0617:1.8705:0.5676:1.8150:0|515790.XSHG:0.9972:1.6577:0.6015:1.1170:0|513630.XSHG:0.8790:1.0658:0.8248:1.7170:0|518880.XSHG:0.7078:1.7385:0.4071:10.7300:0,"['501018', '513310', '561360', '159518', '513350', '513970', '159326', '515790', '513630', '518880']"
2026-02-12,False,114,13,513310,513310.XSHG,513310.XSHG:2.8350:4.4181:0.6417:3.4780:0|561360.XSHG:2.7230:3.3615:0.8101:1.4950:0|159518.XSHE:2.6393:3.4590:0.7630:1.0370:0|513350.XSHG:2.3347:3.4019:0.6863:1.1040:0|513970.XSHG:1.4579:1.7328:0.8414:1.0130:0|159326.XSHE:1.0587:1.8541:0.5710:1.8720:0|513520.XSHG:0.9155:1.8586:0.4926:2.1090:0|513630.XSHG:0.8844:1.0673:0.8286:1.7170:0|515790.XSHG:0.8530:1.4862:0.5740:1.1270:0|513920.XSHG:0.7447:1.0624:0.7010:1.7350:0,"['513310', '561360', '159518', '513350', '513970', '159326', '513520', '513630', '515790', '513920']"
2026-02-13,False,114,11,513310,513310.XSHG,513310.XSHG:3.1179:4.6884:0.6650:3.6530:0|513350.XSHG:2.2090:3.1917:0.6921:1.0620:0|513970.XSHG:1.3249:1.6046:0.8257:1.0040:0|513520.XSHG:1.1815:2.2067:0.5354:2.0960:0|159326.XSHE:0.9406:1.6672:0.5641:1.8490:0|515220.XSHG:0.8621:1.4523:0.5936:1.1540:0|513630.XSHG:0.7888:0.9784:0.8063:1.7070:0|513920.XSHG:0.6414:0.9503:0.6749:1.7000:0|515790.XSHG:0.6197:1.2178:0.5088:1.1060:0|510880.XSHG:0.2785:0.5032:0.5534:3.1530:0,"['513310', '513350', '513970', '513520', '159326', '515220', '513630', '513920', '515790', '510880']"
2026-02-24,True,17,5,513310,513310.XSHG,513310.XSHG:3.2378:4.8558:0.6668:3.7930:0|513520.XSHG:1.6328:2.8106:0.5810:2.1100:0|518880.XSHG:0.2489:0.9524:0.2614:10.9620:0|513400.XSHG:0.1260:0.5622:0.2241:1.2930:0|159985.XSHE:0.0850:0.1793:0.4738:2.0040:0,"['513310', '513520', '518880', '513400', '159985']"
2026-02-25,False,114,11,513310,513310.XSHG,513310.XSHG:4.6098:6.6916:0.6889:3.9960:0|513350.XSHG:4.3282:6.0400:0.7166:1.1830:0|513520.XSHG:2.3199:3.6464:0.6362:2.1600:0|515220.XSHG:1.4371:1.9794:0.7260:1.1880:0|513970.XSHG:1.2135:1.4791:0.8204:1.0120:0|159326.XSHE:1.0591:1.8409:0.5753:1.9200:0|513630.XSHG:0.8021:0.9922:0.8084:1.7320:0|513920.XSHG:0.7707:1.0880:0.7084:1.7550:0|510880.XSHG:0.4329:0.6405:0.6759:3.2160:0|512890.XSHG:0.1801:0.3363:0.5355:1.1740:0,"['513310', '513350', '513520', '515220', '513970', '159326', '513630', '513920', '510880', '512890']"
2026-02-26,False,114,12,513350,513350.XSHG,513350.XSHG:4.4989:5.9725:0.7533:1.1400:0|561360.XSHG:2.8890:3.6574:0.7899:1.5570:0|513520.XSHG:2.8680:4.1588:0.6896:2.1370:0|501018.XSHG:2.0020:4.9622:0.4034:1.4290:0|515220.XSHG:1.4692:1.9560:0.7511:1.1700:0|159326.XSHE:1.3334:2.2809:0.5846:1.9770:0|513970.XSHG:0.8997:1.2119:0.7424:0.9960:0|513920.XSHG:0.7200:1.0086:0.7139:1.7250:0|513630.XSHG:0.7012:0.8964:0.7822:1.7160:0|510880.XSHG:0.4610:0.6417:0.7185:3.1910:0,"['513350', '561360', '513520', '501018', '515220', '159326', '513970', '513920', '513630', '510880']"
2026-02-27,False,114,13,513350,513350.XSHG,513350.XSHG:4.9138:6.3699:0.7714:1.1440:0|159518.XSHE:3.8317:4.8681:0.7871:1.0450:0|513520.XSHG:3.4101:4.5959:0.7420:2.1310:0|561360.XSHG:3.1970:3.9868:0.8019:1.5710:0|501018.XSHG:2.0107:4.9170:0.4089:1.4280:0|515220.XSHG:1.6264:2.1007:0.7742:1.1910:0|159326.XSHE:1.4372:2.4266:0.5923:1.9490:0|513920.XSHG:0.6521:0.9361:0.6966:1.7160:0|513970.XSHG:0.6424:0.9866:0.6511:0.9930:0|513630.XSHG:0.5567:0.7676:0.7252:1.7070:0,"['513350', '159518', '513520', '561360', '501018', '515220', '159326', '513920', '513970', '513630']"
2026-03-02,False,114,13,561360,561360.XSHG,561360.XSHG:4.4784:5.8452:0.7662:1.7100:0|513520.XSHG:4.0075:5.1071:0.7847:2.1500:0|501018.XSHG:3.1854:6.9794:0.4564:1.5830:0|515220.XSHG:2.0795:2.6443:0.7864:1.2350:0|159326.XSHE:1.8548:3.0665:0.6049:2.0120:0|513920.XSHG:0.6998:0.9666:0.7240:1.7330:0|510880.XSHG:0.6428:0.8541:0.7526:3.2850:0|513630.XSHG:0.5274:0.7329:0.7196:1.7180:0|513030.XSHG:0.4091:0.9070:0.4511:2.0000:0|513970.XSHG:0.3872:0.7457:0.5193:0.9820:0,"['561360', '513520', '501018', '515220', '159326', '513920', '510880', '513630', '513030', '513970']"
2026-03-03,False,114,10,513520,513520.XSHG,513520.XSHG:3.4377:4.4261:0.7767:2.0570:0|515220.XSHG:2.7406:3.6145:0.7582:1.2900:0|159326.XSHE:1.9632:3.1691:0.6195:1.9600:0|159667.XSHE:1.1485:2.5874:0.4439:1.9470:0|510880.XSHG:0.8164:1.1805:0.6916:3.3910:0|513920.XSHG:0.8074:1.0764:0.7501:1.7700:0|513630.XSHG:0.4935:0.6960:0.7091:1.7290:0|515880.XSHG:0.3750:0.8639:0.4341:1.1060:0|159985.XSHE:0.3411:0.5394:0.6324:2.0870:0|512890.XSHG:0.2055:0.3626:0.5667:1.2020:0,"['513520', '515220', '159326', '159667', '510880', '513920', '513630', '515880', '159985', '512890']"
2026-03-04,True,17,2,159985,159985.XSHE,159985.XSHE:0.4159:0.6239:0.6667:2.0930:0|518880.XSHG:0.1005:0.6634:0.1515:11.0000:0,"['159985', '518880']"
2026-03-05,True,17,2,159985,159985.XSHE,159985.XSHE:0.4965:0.7314:0.6787:2.0710:0|518880.XSHG:0.0600:0.5426:0.1106:10.9990:0,"['159985', '518880']"
2026-03-06,True,17,1,159985,159985.XSHE,159985.XSHE:0.6260:0.9723:0.6438:2.1430:0,['159985']
