trade_date,ths_top10_raw,is_weak,candidates_json,local_target,ths_target,target_match,local_top1
2020-03-09,"515880.SH:3.3214,512170.SH:2.3307,518880.SH:0.4613,512890.SH:0.3416,510880.SH:0.2246",False,"[{""symbol"": ""512950"", ""rank"": 1, ""momentum_score"": 1.1163516046998696, ""annualized_return"": 1.5467604320945672, ""r_squared"": 0.7217353001383326, ""close"": 0.976}]",512950,515880,False,512950
2020-03-10,518880.SH:0.3300,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.039139579576153515, ""annualized_return"": 0.19384888861257332, ""r_squared"": 0.20190768106170542, ""close"": 0.957}]",159985,518880,False,159985
2020-03-11,518880.SH:0.3230,True,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 0.37407474494592796, ""annualized_return"": 0.6730048249477589, ""r_squared"": 0.555827731212722, ""close"": 3.648}]",518880,518880,True,518880
2020-03-12,,True,[],511880,511880,True,511880
2020-03-13,,True,[],511880,511880,True,511880
2020-03-16,,True,[],511880,511880,True,511880
2020-03-17,159985.SZ:0.0122,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.01082719947638374, ""annualized_return"": 0.11488975080221775, ""r_squared"": 0.09423990739628918, ""close"": 0.96}]",159985,159985,True,159985
2020-03-18,159985.SZ:0.0165,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.010451679895189914, ""annualized_return"": 0.11209823945581943, ""r_squared"": 0.09323678896232057, ""close"": 0.958}]",159985,159985,True,159985
2020-03-19,,True,[],511880,511880,True,511880
2020-03-20,159985.SZ:0.0474,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.020655992424772188, ""annualized_return"": 0.1533087715285235, ""r_squared"": 0.13473457662485466, ""close"": 0.977}]",159985,159985,True,159985
2020-03-23,,True,[],511880,511880,True,511880
2020-03-24,,True,[],511880,511880,True,511880
2020-03-25,159985.SZ:0.6686,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.42705143747918817, ""annualized_return"": 0.9926132909496901, ""r_squared"": 0.43022941700750705, ""close"": 1.032}]",159985,159985,True,159985
2020-03-26,159985.SZ:0.7037,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.5429703591216264, ""annualized_return"": 1.1098366504997474, ""r_squared"": 0.4892344822791108, ""close"": 1.005}]",159985,159985,True,159985
2020-03-27,159985.SZ:0.8481,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.7087319821178508, ""annualized_return"": 1.2825426078223847, ""r_squared"": 0.5525991712050793, ""close"": 1.017}]",159985,159985,True,159985
2020-03-30,159985.SZ:1.0947,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.9118836354934035, ""annualized_return"": 1.4887760158043841, ""r_squared"": 0.6125055923880622, ""close"": 1.026}]",159985,159985,True,159985
2020-03-31,159985.SZ:1.1094,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 1.0087997072529316, ""annualized_return"": 1.580302549688564, ""r_squared"": 0.6383585899116213, ""close"": 1.023}]",159985,159985,True,159985
2020-04-01,,True,[],511880,511880,True,511880
2020-04-02,159985.SZ:0.5160,True,[],511880,159985,False,511880
2020-04-03,,False,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.4187140709270276, ""annualized_return"": 0.9400885756165642, ""r_squared"": 0.44539853135903795, ""close"": 0.976}]",159985,511880,False,159985
2020-04-07,,False,"[{""symbol"": ""511880"", ""rank"": 1, ""momentum_score"": 0.01755213324165858, ""annualized_return"": 0.018002874895449272, ""r_squared"": 0.9749627958640856, ""close"": 100.746}]",511880,511880,True,511880
2020-04-08,,False,"[{""symbol"": ""511880"", ""rank"": 1, ""momentum_score"": 0.017690841421503734, ""annualized_return"": 0.018128572368072637, ""r_squared"": 0.9758540861529825, ""close"": 100.754}]",511880,511880,True,511880
2020-04-09,,False,"[{""symbol"": ""511880"", ""rank"": 1, ""momentum_score"": 0.017764968912508235, ""annualized_return"": 0.018191381246098093, ""r_squared"": 0.976559650538833, ""close"": 100.761}]",511880,511880,True,511880
2020-04-10,,False,"[{""symbol"": ""511880"", ""rank"": 1, ""momentum_score"": 0.018127295009841247, ""annualized_return"": 0.01858699130361141, ""r_squared"": 0.975267848020091, ""close"": 100.781}]",511880,511880,True,511880
2020-04-13,,False,"[{""symbol"": ""511880"", ""rank"": 1, ""momentum_score"": 0.018298942496199334, ""annualized_return"": 0.01875294932448801, ""r_squared"": 0.9757901106416459, ""close"": 100.786}]",511880,511880,True,511880
2020-04-14,"512010.SH:1.4441,159928.SZ:0.8784,518880.SH:0.6166",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 1.0369310626850994, ""annualized_return"": 2.2664589326710165, ""r_squared"": 0.45751151619724195, ""close"": 1.487}]",512290,512010,False,512290
2020-04-15,"512010.SH:2.3143,159928.SZ:1.4176,512170.SH:1.1060,513520.SH:0.9439,518880.SH:0.8814",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 1.8494524301493036, ""annualized_return"": 3.05781005424335, ""r_squared"": 0.6048290761497112, ""close"": 1.496}]",512290,512010,False,512290
2020-04-16,"512010.SH:3.0593,512170.SH:2.2207,159928.SZ:1.7795,513520.SH:1.6764,518880.SH:1.2540,512690.SH:1.0357,159967.SZ:0.7964,510900.SH:0.6658,501018.SH:0.5093",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 3.1968304499254625, ""annualized_return"": 4.358440284543244, ""r_squared"": 0.7334803831688803, ""close"": 1.544}]",512290,512010,False,512290
2020-04-17,"512010.SH:3.3719,512170.SH:3.0189,513520.SH:2.9709,159928.SZ:2.3700,513030.SH:2.0875,512690.SH:1.8833,159967.SZ:1.5478,518880.SH:1.3963,513500.SH:1.2657,510900.SH:1.0681",False,"[{""symbol"": ""512290"", ""rank"": 1, ""momentum_score"": 4.460625437363474, ""annualized_return"": 5.286753605217026, ""r_squared"": 0.8437362075966015, ""close"": 1.513}]",512290,512010,False,512290
2020-04-20,"512170.SH:4.3331,513520.SH:3.4372,513030.SH:3.4121,512010.SH:3.3819,159928.SZ:2.5534,512690.SH:2.3527,159967.SZ:2.2380,513500.SH:1.8617,518880.SH:1.2122,161226.SZ:1.1835",False,"[{""symbol"": ""159929"", ""rank"": 1, ""momentum_score"": 4.099958960256613, ""annualized_return"": 4.510928969292955, ""r_squared"": 0.9088945953629685, ""close"": 1.81}]",159929,512170,False,159929
2020-04-21,"512170.SH:4.0715,513030.SH:3.1024,513520.SH:2.6432,512010.SH:2.6331,159967.SZ:2.0627,159928.SZ:1.9812,512690.SH:1.9745,513500.SH:1.7838,161226.SZ:1.6761,159949.SZ:1.1503",False,"[{""symbol"": ""159929"", ""rank"": 1, ""momentum_score"": 4.207972154232645, ""annualized_return"": 4.51698716463583, ""r_squared"": 0.9315882469575054, ""close"": 1.793}]",159929,512170,False,159929
2020-04-22,"512170.SH:4.2864,512010.SH:2.6918,513030.SH:2.5644,159928.SZ:2.3305,159967.SZ:2.2790,513520.SH:1.9381,513500.SH:1.5391,159949.SZ:1.4468,159915.SZ:1.2084,513100.SH:0.9527",False,"[{""symbol"": ""159929"", ""rank"": 1, ""momentum_score"": 4.1456675126578535, ""annualized_return"": 4.439515569660567, ""r_squared"": 0.933810783543399, ""close"": 1.82}]",159929,512170,False,159929
2020-04-23,"512170.SH:4.4296,512010.SH:2.5321,512690.SH:2.4766,159928.SZ:2.3722,513030.SH:2.2889,159967.SZ:2.2866,513520.SH:1.6661,159949.SZ:1.5822,513500.SH:1.5321,513100.SH:1.3244",False,"[{""symbol"": ""159929"", ""rank"": 1, ""momentum_score"": 3.9406966376439336, ""annualized_return"": 4.234882024318876, ""r_squared"": 0.9305328023341435, ""close"": 1.822}]",159929,512170,False,159929
2020-04-24,"512170.SH:3.2079,512690.SH:2.5002,159928.SZ:2.1462,159967.SZ:1.8236,513100.SH:1.5007,159949.SZ:1.3539,513030.SH:1.3055,513500.SH:1.1582,513520.SH:1.1568,159915.SZ:1.1273",False,"[{""symbol"": ""159929"", ""rank"": 1, ""momentum_score"": 3.2577808985011463, ""annualized_return"": 3.6166375673527478, ""r_squared"": 0.9007761595767884, ""close"": 1.79}]",159929,512170,False,159929
2020-04-27,"513100.SH:2.3691,513500.SH:1.4742,513520.SH:1.2613,159980.SZ:1.2588,518880.SH:0.6840,161226.SZ:0.6384",True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 1.4164506138032502, ""annualized_return"": 1.931198258401539, ""r_squared"": 0.733456861635559, ""close"": 0.953}]",513520,513100,False,513520
2020-04-28,"513100.SH:3.1729,513500.SH:1.3543,513520.SH:1.1278,159980.SZ:1.0748,513030.SH:0.8243",True,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 1.2974173918100236, ""annualized_return"": 1.7848343356555696, ""r_squared"": 0.7269119412886476, ""close"": 0.959}]",513520,513100,False,513520
