date,requested,fetched,total_cached
2023-05-31,114,82,114
2023-06-01,114,82,114
2023-06-02,114,82,114
2023-06-05,114,82,114
2023-06-06,114,82,114
2023-06-07,114,82,114
2023-06-08,114,82,114
2023-06-09,114,82,114
2023-06-12,114,82,114
2023-06-13,114,82,114
2023-06-14,114,82,114
2023-06-15,114,82,114
2023-06-16,114,82,114
2023-06-19,114,82,114
2023-06-20,114,82,114
2023-06-21,114,82,114
2023-06-26,114,82,114
2023-06-27,114,82,114
2023-06-28,114,82,114
2023-06-29,114,82,114
2023-06-30,114,82,114
2023-07-03,114,82,114
2023-07-04,114,82,114
2023-07-05,114,82,114
2023-07-06,114,82,114
2023-07-07,114,82,114
2023-07-10,114,82,114
2023-07-11,114,82,114
2023-07-12,114,82,114
2023-07-13,114,82,114
2023-07-14,114,82,114
2023-07-17,114,82,114
2023-07-18,114,82,114
2023-07-19,114,82,114
2023-07-20,114,82,114
2023-07-21,114,82,114
2023-07-24,114,82,114
2023-07-25,114,82,114
2023-07-26,114,82,114
2023-07-27,114,82,114
2023-07-28,114,82,114
2023-07-31,114,82,114
2023-08-01,114,83,114
2023-08-02,114,83,114
2023-08-03,114,83,114
2023-08-04,114,83,114
2023-08-07,114,83,114
2023-08-08,114,83,114
2023-08-09,114,83,114
2023-08-10,114,83,114
2023-08-11,114,84,114
2023-08-14,114,84,114
2023-08-15,114,84,114
2023-08-16,114,84,114
2023-08-17,114,84,114
2023-08-18,114,84,114
2023-08-21,114,84,114
2023-08-22,114,84,114
2023-08-23,114,84,114
2023-08-24,114,84,114
2023-08-25,114,84,114
2023-08-28,114,84,114
2023-08-29,114,84,114
2023-08-30,114,84,114
2023-08-31,114,84,114
2023-09-01,114,84,114
2023-09-04,114,84,114
2023-09-05,114,84,114
2023-09-06,114,85,114
2023-09-07,114,85,114
2023-09-08,114,85,114
2023-09-11,114,85,114
2023-09-12,114,85,114
2023-09-13,114,85,114
2023-09-14,114,85,114
2023-09-15,114,85,114
2023-09-18,114,85,114
2023-09-19,114,86,114
2023-09-20,114,87,114
2023-09-21,114,87,114
2023-09-22,114,87,114
2023-09-25,114,87,114
2023-09-26,114,87,114
2023-09-27,114,87,114
