date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-06-19,13:10:00,515030,"['515030', '513030', '512170', '159949', '512980', '512010', '159992', '159915', '159967', '512690']",13:10:00,515030,"['515030', '513030', '512170', '159949', '512980', '512010', '159992', '159915', '159967', '512690']",True,True,10
2020-06-22,13:10:00,515030,"['515030', '159949', '512170', '512010', '159992', '159915', '512980', '159967', '513030', '515050']",13:10:00,515030,"['515030', '159949', '512170', '512010', '159992', '159915', '512980', '159967', '513030', '515050']",True,True,10
2020-06-23,13:10:00,159949,"['159949', '512170', '515030', '512010', '159992', '159915', '159967', '512980', '515050', '513090']",13:10:00,159949,"['159949', '512170', '515030', '512010', '159992', '159915', '159967', '512980', '515050', '513090']",True,True,10
2020-06-24,13:10:00,159949,"['159949', '512170', '512010', '515030', '159992', '159915', '159967', '515050', '512980', '513090']",13:10:00,159949,"['159949', '512170', '512010', '515030', '159992', '159915', '159967', '515050', '512980', '513090']",True,True,10
2020-06-29,13:10:00,512010,"['512010', '159992', '159967', '159915', '515030', '515050', '512980', '513090', '512690', '159998']",13:10:00,512010,"['512010', '159992', '159967', '159915', '515030', '515050', '512980', '513090', '512690', '159998']",True,True,10
2020-06-30,13:10:00,159967,"['159967', '159915', '515050', '515030', '512980', '512690', '159998', '510500', '512100', '159928']",13:10:00,159967,"['159967', '159915', '515050', '515030', '512980', '512690', '159998', '510500', '512100', '159928']",True,True,10
2020-07-01,13:10:00,159967,"['159967', '159915', '515050', '515030', '512980', '512690', '159998', '159928', '515980', '510500']",13:10:00,159967,"['159967', '159915', '515050', '515030', '512980', '512690', '159998', '159928', '515980', '510500']",True,True,10
2020-07-02,13:10:00,159915,"['159915', '159967', '515050', '512690', '515030', '512980', '512880', '159998', '159928', '513090']",13:10:00,159915,"['159915', '159967', '515050', '512690', '515030', '512980', '512880', '159998', '159928', '513090']",True,True,10
2020-07-03,13:10:00,515050,"['515050', '159967', '512690', '512880', '515030', '513090', '159998', '159928', '512980', '512480']",13:10:00,515050,"['515050', '159967', '512690', '512880', '515030', '513090', '159998', '159928', '512980', '512480']",True,True,10
2020-07-06,13:10:00,512690,"['512690', '159967', '515030', '159995', '512480', '159928', '159998', '512070', '512980', '515980']",13:10:00,512690,"['512690', '159967', '515030', '159995', '512480', '159928', '159998', '512070', '512980', '515980']",True,True,10
