date,time,target,top10,top10_raw
2021-12-27,13:10:00,159985,"['159985', '159980', '513500']","159985.SZ:0.7352,159980.SZ:0.0072,513500.SH:0.0020"
2021-12-28,13:10:00,159985,"['159985', '513500', '159980', '518880']","159985.SZ:0.8426,513500.SH:0.0269,159980.SZ:0.0121,518880.SH:0.0051"
2021-12-29,13:10:00,159985,"['159985', '513500', '159980', '518880', '513030']","159985.SZ:0.9565,513500.SH:0.0704,159980.SZ:0.0281,518880.SH:0.0234,513030.SH:0.0101"
2021-12-30,13:10:00,159985,"['159985', '513500', '159980', '501018', '513520']","159985.SZ:0.9914,513500.SH:0.1422,159980.SZ:0.0900,501018.SH:0.0216,513520.SH:0.0001"
2021-12-31,13:10:00,513500,"['513500', '159980', '501018', '513030', '518880', '513100', '161226']","513500.SH:0.2374,159980.SZ:0.2368,501018.SH:0.1946,513030.SH:0.1244,518880.SH:0.0543,513100.SH:0.0078,161226.SZ:0.0046"
2022-01-04,13:10:00,159985,"['159985', '501018', '513500', '159980', '513030', '513100', '513520']","159985.SZ:0.8593,501018.SH:0.5237,513500.SH:0.3280,159980.SZ:0.3039,513030.SH:0.2360,513100.SH:0.0346,513520.SH:0.0084"
2022-01-05,13:10:00,159985,"['159985', '501018', '513500', '159980', '518880']","159985.SZ:0.9362,501018.SH:0.7637,513500.SH:0.3806,159980.SZ:0.3737,518880.SH:0.1158"
2022-01-06,13:10:00,501018,"['501018', '159980', '513030']","501018.SH:0.8819,159980.SZ:0.3859,513030.SH:0.3546"
2022-01-07,13:10:00,501018,"['501018', '159980', '513030']","501018.SH:1.1440,159980.SZ:0.4114,513030.SH:0.3752"
2022-01-10,13:10:00,501018,"['501018', '159985', '159980', '513030']","501018.SH:1.2797,159985.SZ:0.5692,159980.SZ:0.3942,513030.SH:0.3608"
2022-01-11,13:10:00,501018,"['501018', '159980', '518880']","501018.SH:1.3854,159980.SZ:0.4260,518880.SH:0.0346"
2022-01-12,13:10:00,501018,"['501018', '159980', '159985', '513030', '518880']","501018.SH:1.6190,159980.SZ:0.4933,159985.SZ:0.4054,513030.SH:0.3160,518880.SH:0.0489"
2022-01-13,13:10:00,501018,"['501018', '159980', '513030', '159985', '518880', '161226']","501018.SH:1.9168,159980.SZ:0.5921,513030.SH:0.3638,159985.SZ:0.3113,518880.SH:0.0636,161226.SZ:0.0008"
2022-01-14,13:10:00,501018,"['501018', '159980', '513030', '518880', '161226']","501018.SH:2.1954,159980.SZ:0.6603,513030.SH:0.4362,518880.SH:0.0763,161226.SZ:0.0007"
2022-01-17,13:10:00,501018,"['501018', '159980', '518880', '161226']","501018.SH:2.7795,159980.SZ:0.6872,518880.SH:0.0619,161226.SZ:0.0004"
2022-01-18,13:10:00,501018,"['501018', '159980', '518880']","501018.SH:3.1719,159980.SZ:0.7549,518880.SH:0.0470"
2022-01-19,13:10:00,501018,"['501018', '159981', '159766', '159980', '159865', '512890', '512200', '510880', '513030', '512800']","501018.SH:3.9481,159981.SZ:2.6394,159766.SZ:0.9228,159980.SZ:0.8116,159865.SZ:0.7586,512890.SH:0.6651,512200.SH:0.5437,510880.SH:0.3540,513030.SH:0.1808,512800.SH:0.1765"
2022-01-20,13:10:00,501018,"['501018', '159980', '518880', '159985', '161226']","501018.SH:4.3869,159980.SZ:0.9297,518880.SH:0.0432,159985.SZ:0.0001,161226.SZ:0.0001"
2022-01-21,13:10:00,501018,"['501018', '159980', '518880', '161226', '159985']","501018.SH:4.1460,159980.SZ:0.9730,518880.SH:0.0473,161226.SZ:0.0058,159985.SZ:0.0006"
2022-01-24,13:10:00,501018,"['501018', '159980', '518880', '161226', '159985']","501018.SH:4.3112,159980.SZ:1.0240,518880.SH:0.0468,161226.SZ:0.0207,159985.SZ:0.0016"
2022-01-25,13:10:00,518880,"['518880', '161226', '159985']","518880.SH:0.0709,161226.SZ:0.0365,159985.SZ:0.0016"
2022-01-26,13:10:00,501018,"['501018', '518880', '161226', '159985']","501018.SH:3.3312,518880.SH:0.0961,161226.SZ:0.0413,159985.SZ:0.0010"
2022-01-27,13:10:00,501018,"['501018', '159980', '159985']","501018.SH:3.1177,159980.SZ:0.6478,159985.SZ:0.0065"
2022-01-28,13:10:00,501018,"['501018', '159985']","501018.SH:2.8838,159985.SZ:0.0304"
2022-02-07,13:10:00,501018,"['501018', '159980', '159985']","501018.SH:3.1998,159980.SZ:0.6247,159985.SZ:0.1850"
2022-02-08,13:10:00,501018,"['501018', '159980', '159985']","501018.SH:3.3014,159980.SZ:0.6307,159985.SZ:0.5588"
2022-02-09,13:10:00,501018,"['501018', '159985', '159980', '518880']","501018.SH:3.1773,159985.SZ:1.1569,159980.SZ:0.6021,518880.SH:0.0033"
2022-02-10,13:10:00,501018,"['501018', '159985', '159980', '518880']","501018.SH:3.0127,159985.SZ:2.2737,159980.SZ:0.6979,518880.SH:0.0090"
2022-02-11,13:10:00,159985,"['159985', '501018', '159980', '518880']","159985.SZ:3.3933,501018.SH:2.8730,159980.SZ:0.7933,518880.SH:0.0086"
