date,value,positions,positions_raw
2023-02-02,4209812.43,['515400'],515400.XSHG:4891400:4201712.60
2023-02-03,4278279.83,['515400'],515400.XSHG:4891000:4269843.00
2023-02-06,4322292.83,['515400'],515400.XSHG:4890800:4313685.60
2023-02-07,4331209.8,['513030'],513030.XSHG:3884000:4322892.00
2023-02-08,4333455.42,['513310'],513310.XSHG:4076500:4325166.50
2023-02-09,4406823.92,['513310'],513310.XSHG:4076000:4398004.00
2023-02-10,4374215.92,['513310'],513310.XSHG:4076000:4365396.00
2023-02-13,4349754.82,['513310'],513310.XSHG:4076100:4341046.50
2023-02-14,4401011.74,['515980'],515980.XSHG:4880700:4392630.00
2023-02-15,4478582.18,['159869'],159869.XSHE:4755300:4469982.00
2023-02-16,4513926.17,['159819'],159819.XSHE:5554900:4505023.90
2023-02-17,4348107.71,['513030'],513030.XSHG:3857600:4339800.00
2023-02-20,4405962.71,['513030'],513030.XSHG:3857200:4397208.00
2023-02-21,4375105.11,['513030'],513030.XSHG:3857200:4366350.40
2023-02-22,4322523.16,['159869'],159869.XSHE:4644000:4314276.00
2023-02-23,4240947.02,['513030'],513030.XSHG:3752500:4232820.00
2023-02-24,4267208.32,['513030'],513030.XSHG:3752100:4258633.50
2023-02-27,4198582.71,['511880'],511880.XSHG:41700:4184761.80
2023-02-28,4198624.41,['511880'],511880.XSHG:41700:4184803.50
2023-03-01,4199124.81,['511880'],511880.XSHG:41700:4185303.90
2023-03-02,4176748.64,['515880'],515880.XSHG:4324400:4168721.60
2023-03-03,4168091.54,['515880'],515880.XSHG:4324100:4159784.20
2023-03-06,4198355.24,['515880'],515880.XSHG:4324000:4189956.00
2023-03-07,4061289.44,['512890'],512890.XSHG:4544200:4053426.40
2023-03-08,4031826.36,['501018'],501018.XSHG:3493100:4024051.20
2023-03-09,4010067.21,['513030'],513030.XSHG:3498600:4002398.40
2023-03-10,3957584.11,['513030'],513030.XSHG:3498300:3949580.70
2023-03-13,3965571.16,['518880'],518880.XSHG:967900:3957743.10
2023-03-14,4016863.96,['518880'],518880.XSHG:967800:4008627.60
2023-03-15,4013960.56,['518880'],518880.XSHG:967800:4005724.20
2023-03-16,4047833.56,['518880'],518880.XSHG:967800:4039597.20
2023-03-17,4071060.76,['518880'],518880.XSHG:967800:4062824.40
2023-03-20,4195899.36,['518880'],518880.XSHG:967700:4187237.90
2023-03-21,4156223.66,['518880'],518880.XSHG:967700:4147562.20
2023-03-22,4095396.98,['588200'],588200.XSHG:3221100:4087575.90
2023-03-23,4266095.78,['588200'],588200.XSHG:3220600:4257633.20
2023-03-24,4195242.58,['588200'],588200.XSHG:3220600:4186780.00
2023-03-27,4176513.85,['159869'],159869.XSHE:3547800:4168665.00
2023-03-28,4079068.08,['588200'],588200.XSHG:3275200:4071073.60
2023-03-29,4252652.18,['588200'],588200.XSHG:3274700:4244011.20
2023-03-30,4254916.22,['516510'],516510.XSHG:3764800:4246694.40
2023-03-31,4535933.49,['159852'],159852.XSHE:3937000:4527550.00
2023-04-03,4793333.64,['159819'],159819.XSHE:4886900:4784275.10
2023-04-04,4884064.34,['512480'],512480.XSHG:4678100:4874580.20
2023-04-06,5158190.42,['159851'],159851.XSHE:3912100:5148323.60
2023-04-07,5243209.87,['513310'],513310.XSHG:4397600:5233144.00
2023-04-10,5181649.47,['513310'],513310.XSHG:4397100:5170989.60
2023-04-11,5186042.57,['513310'],513310.XSHG:4397300:5175622.10
2023-04-12,5206547.29,['588080'],588080.XSHG:4507000:5196571.00
2023-04-13,5028976.28,['515400'],515400.XSHG:4771100:5019197.20
2023-04-14,5010213.78,['161226'],161226.XSHE:6494300:5000611.00
2023-04-17,4897069.51,['513310'],513310.XSHG:4128100:4887670.40
2023-04-18,4818630.61,['513310'],513310.XSHG:4127800:4808887.00
